Date,Tesla,Gamestop,Home_Depot,Amazon,Netflix,Google,Facebook
2020-04-06,103.25,3.09,191.33,1997.59,379.96,1186.92,165.55
2020-04-07,109.09,3.27,192.29,2011.6,372.28,1186.51,168.83
2020-04-08,109.77,3.41,194.82,2043.0,371.12,1210.28,174.28
2020-04-09,114.6,3.89,201.53,2042.76,370.72,1211.45,175.19
2020-04-13,130.19,4.74,198.79,2168.87,396.72,1217.56,174.79
2020-04-14,141.98,5.95,207.17,2283.32,413.55,1269.23,178.17
2020-04-15,145.97,5.27,198.48,2307.68,426.75,1262.47,176.97
2020-04-16,149.04,5.03,199.85,2408.19,439.17,1263.47,176.25
2020-04-17,150.78,4.88,209.42,2375.0,422.96,1283.25,179.24
2020-04-20,149.27,5.61,206.05,2393.61,437.49,1266.61,178.24
2020-04-21,137.34,4.78,200.61,2328.12,433.83,1216.34,170.8
2020-04-22,146.42,4.89,204.17,2363.49,421.42,1263.21,182.28
2020-04-23,141.13,4.7,202.32,2399.45,426.7,1276.31,185.13
2020-04-24,145.03,4.77,212.18,2410.22,424.99,1279.31,190.07
2020-04-27,159.75,5.82,217.76,2376.0,421.38,1275.88,187.5
2020-04-28,153.82,5.64,217.63,2314.08,403.83,1233.67,182.91
2020-04-29,160.1,6.04,221.81,2372.71,411.89,1341.48,194.19
2020-04-30,156.38,5.73,219.83,2474.0,419.85,1348.66,204.71
2020-05-01,140.26,6.05,218.57,2286.04,415.27,1320.61,202.27
2020-05-04,152.24,5.48,221.84,2315.99,428.15,1326.8,205.26
2020-05-05,153.64,5.39,225.61,2317.8,424.68,1351.11,207.07
2020-05-06,156.52,4.93,223.92,2351.26,434.26,1347.3,208.47
2020-05-07,156.01,4.87,229.45,2367.61,436.53,1372.56,211.26
2020-05-08,163.88,4.98,234.43,2379.61,435.55,1388.37,212.35
2020-05-11,162.26,4.76,236.56,2409.0,440.52,1403.26,213.18
2020-05-12,161.88,4.54,232.9,2356.95,431.82,1375.74,210.1
2020-05-13,158.19,4.21,230.1,2367.92,438.27,1349.33,205.1
2020-05-14,160.67,4.13,234.48,2388.85,441.95,1356.13,206.81
2020-05-15,159.83,4.22,239.33,2409.78,454.19,1373.19,210.88
2020-05-18,162.73,4.58,245.35,2426.26,452.58,1383.94,213.19
2020-05-19,161.6,4.44,238.1,2449.33,451.04,1373.48,216.88
2020-05-20,163.11,4.43,238.19,2497.94,447.67,1406.72,229.97
2020-05-21,165.52,4.44,240.88,2446.74,436.25,1402.8,231.39
2020-05-22,163.38,4.18,241.88,2436.88,429.32,1410.42,234.91
2020-05-26,163.77,4.42,242.48,2421.86,414.77,1417.02,232.2
2020-05-27,164.05,4.69,247.36,2410.39,419.89,1417.84,229.14
2020-05-28,161.16,4.33,245.14,2401.1,413.44,1416.73,225.46
2020-05-29,167.0,4.06,248.48,2442.37,419.73,1428.92,225.09
2020-06-01,179.62,4.13,247.29,2471.04,425.92,1431.82,231.91
2020-06-02,176.31,4.18,252.71,2472.41,427.31,1439.22,232.72
2020-06-03,176.59,4.44,251.0,2478.4,421.97,1436.38,230.16
2020-06-04,172.88,4.47,248.95,2460.6,414.33,1412.18,226.29
2020-06-05,177.13,4.14,254.9,2483.0,419.6,1438.39,230.77
2020-06-08,189.98,5.01,256.77,2524.06,419.49,1446.61,231.4
2020-06-09,188.13,4.96,256.76,2600.86,434.05,1456.16,238.67
2020-06-10,205.01,5.07,254.45,2647.45,434.48,1465.85,236.73
2020-06-11,194.57,4.37,239.47,2557.96,425.56,1403.84,224.43
2020-06-12,187.06,4.72,242.45,2545.02,418.07,1413.18,228.58
2020-06-15,198.18,4.69,241.36,2572.68,425.5,1419.85,232.5
2020-06-16,196.43,4.64,249.95,2615.27,436.13,1442.72,235.65
2020-06-17,198.36,4.76,250.85,2640.98,447.77,1451.12,235.53
2020-06-18,200.79,4.95,249.21,2653.98,449.87,1435.96,235.94
2020-06-19,200.18,4.88,246.65,2675.01,453.72,1431.72,238.79
2020-06-22,198.86,4.87,249.16,2713.82,468.04,1451.86,239.22
2020-06-23,200.36,4.83,250.31,2764.41,466.26,1464.41,242.24
2020-06-24,192.17,4.41,246.13,2734.4,457.85,1431.97,234.02
2020-06-25,197.2,4.46,245.38,2754.58,465.91,1441.33,235.68
2020-06-26,191.95,4.35,241.01,2692.87,443.4,1359.9,216.08
2020-06-29,201.87,4.38,246.12,2680.38,447.24,1394.97,220.64
2020-06-30,215.96,4.34,250.51,2758.82,455.04,1413.61,227.07
2020-07-01,223.93,4.44,248.15,2878.7,485.64,1438.04,237.55
2020-07-02,241.73,4.29,248.5,2890.3,476.89,1464.7,233.42
2020-07-06,274.32,4.24,249.55,3057.04,493.81,1495.7,240.28
2020-07-07,277.97,4.09,247.35,3000.12,493.16,1485.18,240.86
2020-07-08,273.18,4.26,249.17,3081.11,502.78,1496.0,243.58
2020-07-09,278.86,4.21,247.96,3182.63,507.76,1510.99,244.5
2020-07-10,308.93,4.34,250.11,3200.0,548.73,1541.74,245.07
2020-07-13,299.41,4.26,249.62,3104.0,525.5,1511.34,239.0
2020-07-14,303.36,4.08,257.79,3084.0,524.88,1520.58,239.73
2020-07-15,309.2,4.19,257.8,3008.87,523.26,1513.64,240.28
2020-07-16,300.13,4.17,258.08,2999.9,527.39,1518.0,240.93
2020-07-17,300.17,3.96,260.38,2961.97,492.99,1515.55,242.03
2020-07-20,328.6,3.85,260.17,3196.84,502.41,1565.72,245.42
2020-07-21,313.67,4.01,262.42,3138.29,490.1,1558.42,241.75
2020-07-22,318.47,4.11,265.17,3099.91,489.82,1568.49,239.87
2020-07-23,302.61,4.11,263.81,2986.55,477.58,1515.68,232.6
2020-07-24,283.4,4.03,265.31,3008.91,480.45,1511.87,230.71
2020-07-27,307.92,4.01,267.42,3055.21,495.65,1530.2,233.5
2020-07-28,295.3,3.94,265.28,3000.33,488.51,1500.34,230.12
